CouseCode,CourseName,CourseID,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Coreq,Antireq,Programs,Restricted Programs,Minimum Term
ACTSC 127,Introduction to Global Capital Markets and Financial Analytics,016480,"CS 115, CS 135",,,,,"CFM 101, AFM 121","AFM, MCPA",,
ACTSC 221,Introductory Financial Mathematics (Non-Specialist Level),003290,,,,,,ACTSC 231,,ACTSC,2A
ACTSC 231,Introductory Financial Mathematics,003293,"MATH 137, MATH 147",,,,"STAT 230, STAT 240","ACTSC 232, ACTSC 221",,,2A
ACTSC 232,Life Contingencies 1,003294,ACTSC 231,"STAT 230, STAT 240",MTHEL 131,,,ACTSC 331,,,
ACTSC 291,Global Capital Markets and Financial Analytics,011750,"CFM 101, AFM 127, ACTSC 127",,,,,"AFM 273, ACTSC 271, ECON 371","AFM, CFM, MCPA",,
ACTSC 331,Life Contingencies 2,003295,ACTSC 232,,,,,,ACTSCI,,
ACTSC 362,Introduction to Property and Casualty Practice,016541,ACTSC 231,,,,"STAT 231, STAT 241",,"ACTSCI, MF",,
ACTSC 363,Casualty and Health Insurance Mathematics 1,003300,,,,,STAT 330,ACTSC 431,"ACTSC, MF",,
ACTSC 372,Investment Science and Corporate Finance,012044,ACTSC 231,"MATH 235, MATH 245","MATH 237, MATH 247",,,"AFM 272, ACTSC 291, AFM 273, 274, AFM 275, AFM 372, ACTSC 391, BUS 393W, ECON 371, MATBUS 371",,,
ACTSC 391,Corporate Finance,011751,"AFM 272, ACTSC 291",,,,,"AFM 274, AFM 372, ACTSC 372, ECON 371","CFM, MCPA",,
ACTSC 423,Topics in Financial Econometrics,014855,"AFM 323, STAT 374, STAT 331, STAT 371, STAT 373",,,,,,,,
ACTSC 431,Casualty and Health Insurance Mathematics 2,016161,ACTSC 363,STAT 330,"STAT 331, STAT 371, STAT 373",,,,"ACTSC, MF",,
ACTSC 432,Credibility and Risk Theory,003301,ACTSC 363,STAT 330,STAT 333,,,,"ACTSC, MF",,
ACTSC 445,Quantitative Enterprise Risk Management,009492,"AFM 275, AFM 372, ACTSC 391, ACTSC 231, ACTSC 371, ACTSC 372, BUS 393W","STAT 330, STAT 333, STAT 334",,,,"AFM 422, MATBUS 472, BUS 433W, BUS 439W","ACTSC, FARM, MATH, MF",,
ACTSC 446,Mathematics of Financial Markets,003305,"AFM 275, AFM 372, ACTSC 391, ACTSC 231, ACTSC 371, ACTSC 372, BUS 393W","STAT 333, STAT 334",,,,"AFM 322, BUS 423W, ECON 372, MATBUS 470","ACTSC, FARM, MF, STAT",,
ACTSC 453,Basic Pension Mathematics,003308,ACTSC 331,,,,,,"ACTSC, MF",,
ACTSC 454,Longevity and Mortality Using Predictive Analytics,003302,ACTSC 331,STAT 330,,,,,"ACTSC, MF",,
ACTSC 455,Life Contingencies 3,013318,ACTSC 331,,,,,,"ACTSC, MF",,
ACTSC 468,Readings in Actuarial Science 1,014534,,,,,,,"ACTSC, MF",,
ACTSC 469,Readings in Actuarial Science 2,014535,,,,,,,"ACTSC, MF",,
ACTSC 471,Corporate Financial Decision Making,011760,"AFM 275, AFM 372, ACTSC 391, ACTSC 372",,,,,AFM 373,"CFM, ACTSC, MCPA, FARM, MF",,
ACTSC 489,Advanced Topics in Actuarial Science,015667,,,,,,,"ACTSC, MF",,3B
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
