CouseCode,CourseName,CourseID,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Coreq,Antireq,Programs,Restricted Programs,Minimum Term
AMATH 231,Calculus 4,003316,"MATH 237, MATH 247",,,,,"MATH 207, MATH 212, ECE 206, MATH 217, MATH 227",,,
AMATH 242,Introduction to Computational Mathematics,011363,"CS 116, CS 136, CS 138, CS 146","MATH 235, MATH 245","MATH 237, MATH 247",,,"CS 335, CS 370, ECE 204, MTE 204",,,
AMATH 250,Introduction to Differential Equations,003317,"MATH 106, MATH 114, MATH 115, MATH 136, MATH 146, NE 112","MATH 118, MATH 119, MATH 128, MATH 138, MATH 148",,,,"AMATH 251, AMATH 350, MATH 218, MATH 228",,,
AMATH 251,Introduction to Differential Equations (Advanced Level),014120,"MATH 106, MATH 114, MATH 115, MATH 136, MATH 146, NE 112","MATH 118, MATH 119, MATH 128, MATH 138, MATH 148",,,,"AMATH 250, AMATH 350, MATH 218, MATH 228",,,
AMATH 271,Introduction to Theoretical Mechanics,013864,"MATH 128, MATH 138, MATH 148",PHYS 121,,,"AMATH 250, AMATH 251, MATH 228, MATH 227, MATH 237, MATH 247",PHYS 263,,,
AMATH 331,Applied Real Analysis,003323,"MATH 237, MATH 247",,,,,,,,
AMATH 332,Applied Complex Analysis,003324,"MATH 237, MATH 247",,,,,PHYS 365,,,
AMATH 333,Differential Geometry in Applied Mathematics and Physics,016534,PHYS 121,"MATH 114, MATH 136, MATH 146","AMATH 231, MATH 227, PMATH 365",,,,,,
AMATH 342,Computational Methods for Differential Equations,011451,"AMATH 242, CS 371, CS 370","AMATH 250, AMATH 251, AMATH 350, MATH 218, MATH 228",,,,,,,
AMATH 343,Discrete Models in Applied Mathematics,003328,"MATH 128, MATH 138, MATH 148",,,,,,,,
AMATH 350,Differential Equations for Business and Economics,012744,"MATH 106, MATH 136, MATH 146","MATH 237, MATH 247","STAT 230, STAT 240","AFM 272, ACTSC 291, ACTSC 371, ACTSC 372, ECON 371, BUS 393W",,"AMATH 250, AMATH 251, AMATH 353, CIVE 222, ENVE 223, MATH 211, ECE 205, MATH 218, MATH 228, ME 203, PHYS 364, SYDE 211",,GM,3A
AMATH 351,Ordinary Differential Equations,003329,"AMATH 250, AMATH 251, AMATH 350","MATH 237, MATH 247",,,,,,,3A
AMATH 353,Partial Differential Equations 1,003330,AMATH 231,"AMATH 250, AMATH 251, MATH 211, ECE 205, MATH 218, MATH 228",,,,"AMATH 350, PHYS 364",,,
AMATH 361,Continuum Mechanics,003331,"AMATH 231, AMATH 271, PHYS 263",,,,"AMATH 351, AMATH 353, PHYS 364",,,,
AMATH 362,Mathematics of Climate Change,016457,"MATH 118, MATH 119, MATH 128, MATH 138, MATH 148","STAT 202, STAT 206, STAT 220, STAT 230, STAT 240","AMATH 250, AMATH 251, AMATH 350, MATH 211, MATH 213, MATH 218, MATH 228",,,,,,
