CouseCode,CourseName,CourseID,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Coreq,Antireq,Programs,Restricted Programs,Minimum Term
CO 227,Introduction to Optimization (Non-Specialist Level),003887,"MATH 106, MATH 114, MATH 115, MATH 136, MATH 146",,,,,"CO 250, CO 255, CO 352",,,
CO 250,Introduction to Optimization,003895,"MATH 105, MATH 114, MATH 115, MATH 136, MATH 146",,,,,"CO 227, CO 255",,,
CO 255,Introduction to Optimization (Advanced Level),003897,"MATH 235, MATH 245, MATH 237, MATH 247",,,,,"CO 227, CO 250, CO 352",,,
CO 327,Deterministic OR Models (Non-Specialist Level),003890,"CO 227, CO 250, CO 255, CO 352",,,,,CO 370,,,
CO 330,Combinatorial Enumeration,003891,"MATH 239, MATH 249",,,,,,,,
CO 331,Coding Theory,003892,"MATH 225, MATH 235, MATH 245",,,,,,,,
CO 342,Introduction to Graph Theory,003893,"MATH 239, MATH 249",,,,,,,,
CO 351,Network Flow Theory,003896,"CO 250, CO 255, CO 352",,,,,,,,
CO 353,Computational Discrete Optimization,011442,"CO 250, CO 255, CO 352",,,,,,,,
CO 367,Nonlinear Optimization,003898,"CO 250, CO 255, CO 352","MATH 128, MATH 138, MATH 148",,,,,,,
CO 370,Deterministic OR Models,003899,"CO 250, C0 255, C0 352",,,,,CO 327,,,
CO 372,Portfolio Optimization Models,011736,"AFM 272, ACTSC 291, ACTSC 371, ACTSC 372, BUS 39W, ECON 371","CO 227, CO 250, CO 255, CO 352",,,,,,,
CO 380,Mathematical Discovery and Invention,003901,"MATH 135, MATH 145, MATH 106, MATH 136, MATH 146, MATH 138, MATH 148",,,,,,,,3A
CO 430,Algebraic Enumeration,003902,"CO 330, ",,,,,,,,
CO 431,Symmetric Functions,016410,"PMATH 336, PMATH 347",,,,,,,,
CO 432,Information Theory and Applications,016487,"MATH 239, MATH 249","CO 250, CO 255","STAT 230, STAT 240",,,,,,3A
CO 434,Combinatorial Designs,003903,"PMATH 336, PMATH 346, PMATH 347",,,,,,,,
CO 439,Topics in Combinatorics,003906,,,,,,,,,
CO 440,Topics in Graph Theory,003907,CO 342,,,,,,,,
CO 442,Graph Theory,003908,"CO 342, MATH 235, MATH 245",,,,,,,,
CO 444,Algebraic Graph Theory,003909,"MATH 239, MATH 249, PMATH 336, PMATH 346, PMATH 347",,,,,,,,
CO 446,Matroid Theory,013337,CO 342 ,,,,,,,,
CO 450,Combinatorial Optimization,003910,"CO 255, CO 351",,,,,,,,
CO 452,Integer Programming,003911,"CO 255, CO 351",,,,,,,,
CO 454,Scheduling,003913,"MATH 229, MATH 239, MATH 249"," CO 227, CO 250, CO 255, CO 352",,,,,,,
CO 456,Introduction to Game Theory,003914,"MATH 229, MATH 239, MATH 249"," CO 227, CO 250, CO 255, CO 352",,,,,,,
CO 459,Topics in Optimization,010046,,,,,,,,,
CO 463,Convex Optimization and Analysis,010047,"CO 255, CO 367",,,,,,,,
CO 466,Continuous Optimization,003917,CO 367,"CO 250, CO 352",,,,,,,
CO 471,idefinite Optimization,011364,"MATH 239, MATH 249","AMATH 331, PMATH 331, PMATH 251, ","CO 255, CO 367",,,,,,
CO 480,History of Mathematics,003918,"ECE 108, MATH 135, MATH 145","MATH 106, MATH 114, MATH 115, MATH 136, MATH 146","MATH 118, MATH 119, MATH 128, MATH 138, MATH 148",,,,,,3A
CO 481,Introduction to Quantum Information Processing,011497,"MATH 235, MATH 245, MATH 237, MATH 247",,,,,,,,3A
CO 485,The Mathematics of Public-Key Cryptography,010137,"PMATH 334, PMATH 336, PMATH 346, PMATH 347",,,,,,,,
CO 486,Topics in Quantum Information,016488,,,,,,,,,
CO 487,Applied Cryptography,010136,"CS 116, CS 136, CS 138, CS 146","MATH 135, MATH 145","STAT 206, STAT 220, STAT 230, STAT 240",,,,,,3A
CO 499,Reading in Combinatorics and Optimization,003920,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Course ID: 003887,,,,,,,,,
,,Course ID: 003895,,,,,,,,,
,,Course ID: 003897,,,,,,,,,
,,Course ID: 003890,,,,,,,,,
,,Course ID: 003891,,,,,,,,,
,,Course ID: 003892,,,,,,,,,
,,Course ID: 003893,,,,,,,,,
,,Course ID: 003896,,,,,,,,,
,,Course ID: 011442,,,,,,,,,
,,Course ID: 003898,,,,,,,,,
,,Course ID: 003899,,,,,,,,,
,,Course ID: 011736,,,,,,,,,
,,Course ID: 003901,,,,,,,,,
,,Course ID: 003902,,,,,,,,,
,,Course ID: 016410,,,,,,,,,
,,Course ID: 016487,,,,,,,,,
,,Course ID: 003903,,,,,,,,,
,,Course ID: 003906,,,,,,,,,
,,Course ID: 003907,,,,,,,,,
,,Course ID: 003908,,,,,,,,,
,,Course ID: 003909,,,,,,,,,
,,Course ID: 013337,,,,,,,,,
,,Course ID: 003910,,,,,,,,,
,,Course ID: 003911,,,,,,,,,
,,Course ID: 003913,,,,,,,,,
,,Course ID: 003914,,,,,,,,,
,,Course ID: 010046,,,,,,,,,
,,Course ID: 010047,,,,,,,,,
,,Course ID: 003917,,,,,,,,,
,,Course ID: 011364,,,,,,,,,
,,Course ID: 003918,,,,,,,,,
,,Course ID: 011497,,,,,,,,,
,,Course ID: 010137,,,,,,,,,
,,Course ID: 016488,,,,,,,,,
,,Course ID: 010136,,,,,,,,,
,,Course ID: 003920,,,,,,,,,
